course,datetime,action,information,anoname,ip_address
CSAAA-2013J,2023 January 06 05:11,subpage,,Male#227517,X.Y.Z
CSAAA-2014J,2023 March 03 05:11,assessment,TMA,Male#301967,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Male#342514,X.Y.Z
CSAAA-2013J,2023 February 01 05:11,assessment,TMA,Male#236284,X.Y.Z
CSAAA-2014J,2023 June 24 05:11,assessment,TMA,Female#2581477,X.Y.Z
CSBBB-2013B,2023 July 08 05:11,assessment,TMA,Female#557325,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#32885,X.Y.Z
CSBBB-2013B,2023 January 26 05:11,assessment,TMA,Female#528161,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#2578995,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#547873,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#378462,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Male#534360,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Male#537259,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,forumng,,Female#202635,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Male#705379,X.Y.Z
CSAAA-2013J,2023 April 30 05:11,assessment,TMA,Male#345357,X.Y.Z
CSAAA-2014J,2023 March 04 05:11,assessment,TMA,Male#2467267,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#2542724,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#175392,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#174782,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#363416,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Female#558622,X.Y.Z
CSAAA-2013J,2023 May 10 05:11,assessment,TMA,Female#2606098,X.Y.Z
CSBBB-2013B,2023 May 28 05:11,assessment,TMA,Female#415760,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#550354,X.Y.Z
CSBBB-2013B,2023 February 26 05:11,assessment,TMA,Female#534983,X.Y.Z
CSBBB-2013B,2023 May 11 05:11,assessment,TMA,Female#410739,X.Y.Z
CSBBB-2013B,2023 January 22 05:11,assessment,TMA,Female#273731,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#241649,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#63400,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#186149,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#441606,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#511657,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#2617596,X.Y.Z
CSAAA-2014J,2023 January 31 05:11,assessment,TMA,Male#79403,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,forumng,,Male#187100,X.Y.Z
CSAAA-2014J,2023 May 06 05:11,assessment,TMA,Female#290164,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Male#312782,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#1758449,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#540614,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,subpage,,Female#1414443,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#2559575,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,glossary,,Female#181316,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#499891,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#496070,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#2146792,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#197595,X.Y.Z
CSBBB-2013B,2023 April 21 05:11,assessment,TMA,Female#502713,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Female#331358,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,dataplus,,Female#111717,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Female#489455,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,subpage,,Female#2542724,X.Y.Z
CSBBB-2013B,2023 February 14 05:11,assessment,TMA,Female#265958,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,homepage,,Male#345357,X.Y.Z
CSAAA-2013J,2023 January 28 05:11,assessment,TMA,Female#307061,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#540055,X.Y.Z
CSBBB-2014B,2023 January 09 05:14,registration,,Female#599990,X.Y.Z
CSBBB-2013B,2023 January 25 05:11,assessment,TMA,Female#556876,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Female#2691206,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Female#2437837,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#339972,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,resource,,Female#2062879,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#532886,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Female#142324,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#557775,X.Y.Z
CSBBB-2013B,2023 July 24 05:11,assessment,TMA,Female#551032,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#255548,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#1620151,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Female#141355,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,resource,,Male#147756,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#77367,X.Y.Z
CSAAA-2013J,2023 January 27 05:11,assessment,TMA,Male#414117,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#368824,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#386952,X.Y.Z
CSAAA-2014J,2023 August 11 05:11,assessment,TMA,Male#301967,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Female#202635,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#535145,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#540055,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Male#693116,X.Y.Z
CSBBB-2013J,2023 January 09 05:14,registration,,Female#596451,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#487646,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#332789,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#227517,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#547287,X.Y.Z
CSAAA-2014J,2023 January 09 05:13,registration,,Female#244246,X.Y.Z
CSBBB-2014B,2023 January 09 05:17,registration,,Female#618362,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,resource,,Male#1860318,X.Y.Z
CSAAA-2014J,2023 March 04 05:11,assessment,TMA,Male#345440,X.Y.Z
CSBBB-2013J,2023 January 09 05:14,registration,,Female#609010,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Male#172112,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#445889,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Female#489455,X.Y.Z
CSBBB-2013B,2023 July 14 05:11,assessment,TMA,Female#500819,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#441181,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#2312620,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,resource,,Male#2460080,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#760729,X.Y.Z
CSBBB-2013B,2023 February 02 05:11,assessment,TMA,Female#2635505,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#535773,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#143741,X.Y.Z
CSAAA-2013J,2023 May 06 05:11,assessment,TMA,Male#969076,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#441018,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#968578,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#405088,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#519602,X.Y.Z
CSBBB-2013B,2023 January 25 05:11,assessment,TMA,Female#109938,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,homepage,,Female#52130,X.Y.Z
CSBBB-2013B,2023 April 13 05:11,assessment,TMA,Female#516057,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Male#476201,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Male#1618738,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Male#1626710,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,resource,,Female#319047,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Female#2268379,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#537193,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,resource,,Male#104476,X.Y.Z
CSBBB-2013J,2023 January 09 05:14,registration,,Female#2210681,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#551985,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Male#131390,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,forumng,,Male#544103,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#433939,X.Y.Z
CSBBB-2013B,2023 April 15 05:11,assessment,TMA,Female#476709,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#641992,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#2516503,X.Y.Z
CSBBB-2013B,2023 June 03 05:11,assessment,TMA,Female#557006,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#291194,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#680723,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,resource,,Male#186149,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#2173572,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#537473,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#258392,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,homepage,,Female#155854,X.Y.Z
CSAAA-2013J,2023 February 10 05:11,assessment,TMA,Female#147793,X.Y.Z
CSBBB-2013B,2023 May 09 05:11,assessment,TMA,Female#544632,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#98094,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#2562034,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#606143,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#698180,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,homepage,,Male#365642,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#549278,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,homepage,,Female#2566592,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#599037,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,subpage,,Female#2685865,X.Y.Z
CSAAA-2014J,2023 February 05 05:11,assessment,TMA,Female#2158048,X.Y.Z
CSBBB-2013B,2023 February 21 05:11,assessment,TMA,Female#537255,X.Y.Z
CSAAA-2013J,2023 May 06 05:11,assessment,TMA,Female#2339528,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,homepage,,Female#277880,X.Y.Z
CSAAA-2014J,2023 June 23 05:11,assessment,TMA,Male#263251,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,homepage,,Female#2498700,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#556892,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#2457256,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Female#319047,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#558247,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#611690,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#180753,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Female#2643002,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#551714,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#466037,X.Y.Z
CSBBB-2014B,2023 January 09 05:17,registration,,Female#629490,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#127582,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Male#38053,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Female#470653,X.Y.Z
CSBBB-2013B,2023 April 09 05:11,assessment,TMA,Male#563330,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Male#342972,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#1894188,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Male#311917,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,homepage,,Male#343446,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Male#187100,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Female#2691206,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#484768,X.Y.Z
CSAAA-2014J,2023 March 15 05:11,assessment,TMA,Female#2500258,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Male#580389,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#1626710,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Male#386952,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Female#510756,X.Y.Z
CSAAA-2013J,2023 January 27 05:11,assessment,TMA,Male#544103,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,subpage,,Male#1801229,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#473095,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Female#192183,X.Y.Z
CSAAA-2013J,2023 January 09 05:17,registration,,Female#2529279,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#518189,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Male#400147,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,forumng,,Male#256815,X.Y.Z
CSAAA-2013J,2023 May 06 05:11,assessment,TMA,Female#2122180,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#300398,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,url,,Female#721259,X.Y.Z
CSBBB-2013B,2023 July 14 05:11,assessment,TMA,Female#536189,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#291334,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Female#2083877,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#489455,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#392931,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,resource,,Male#324002,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#475460,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Female#2639540,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#545340,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Male#682364,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#550381,X.Y.Z
CSBBB-2013B,2023 March 05 05:11,assessment,TMA,Female#558114,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#422070,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#374234,X.Y.Z
CSBBB-2013J,2023 January 09 05:14,registration,,Female#600684,X.Y.Z
CSAAA-2014J,2023 June 23 05:11,assessment,TMA,Male#334441,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,homepage,,Male#187100,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#1765788,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#563878,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#557308,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,homepage,,Male#205350,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#339946,X.Y.Z
CSAAA-2013J,2023 May 06 05:11,assessment,TMA,Female#2051699,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#291334,X.Y.Z
CSAAA-2014J,2023 June 28 05:11,assessment,TMA,Female#293824,X.Y.Z
CSAAA-2013J,2023 May 13 05:11,assessment,TMA,Male#415969,X.Y.Z
CSAAA-2013J,2023 May 03 05:11,assessment,TMA,Female#62155,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#548585,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Female#107489,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Male#518469,X.Y.Z
CSBBB-2013B,2023 April 16 05:11,assessment,TMA,Female#2376628,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#1912438,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Female#365244,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#1620151,X.Y.Z
CSBBB-2013B,2023 March 25 05:11,assessment,TMA,Male#1436591,X.Y.Z
CSBBB-2013B,2023 February 23 05:11,assessment,TMA,Female#2579459,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,url,,Male#402470,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,homepage,,Male#296332,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Female#489455,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,resource,,Female#2312620,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Male#2641155,X.Y.Z
CSAAA-2013J,2023 May 09 05:11,assessment,TMA,Female#968578,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Male#548843,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#98094,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Female#544519,X.Y.Z
CSBBB-2013B,2023 April 06 05:11,assessment,TMA,Female#544455,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#296332,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#485399,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#132976,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Female#172797,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Male#554226,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,subpage,,Female#332789,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#101781,X.Y.Z
CSBBB-2013B,2023 May 17 05:11,assessment,TMA,Female#552894,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Female#556863,X.Y.Z
CSBBB-2013B,2023 March 04 05:11,assessment,TMA,Female#487329,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,forumng,,Male#155550,X.Y.Z
CSBBB-2013J,2023 January 09 05:13,registration,,Male#23798,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#530153,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#541832,X.Y.Z
CSAAA-2013J,2023 June 17 05:11,assessment,TMA,Male#296332,X.Y.Z
CSAAA-2014J,2023 February 01 05:11,assessment,TMA,Male#2425993,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,homepage,,Female#1414443,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Male#38053,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#147756,X.Y.Z
CSBBB-2013B,2023 March 08 05:11,assessment,TMA,Female#444408,X.Y.Z
CSBBB-2013B,2023 March 29 05:11,assessment,TMA,Female#540184,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,forumng,,Female#258392,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,url,,Male#1970390,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Male#342514,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#232695,X.Y.Z
CSBBB-2014B,2023 January 09 05:17,registration,,Female#429099,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Male#185439,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#175392,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Male#415969,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Male#100893,X.Y.Z
CSBBB-2013B,2023 January 26 05:11,assessment,TMA,Female#494786,X.Y.Z
CSAAA-2013J,2023 January 27 05:11,assessment,TMA,Male#242793,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Male#541803,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Female#172797,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Female#554352,X.Y.Z
CSAAA-2013J,2023 January 27 05:11,assessment,TMA,Female#45642,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#1659662,X.Y.Z
CSAAA-2014J,2023 January 08 05:11,assessment,TMA,Male#415969,X.Y.Z
CSAAA-2014J,2023 August 11 05:11,assessment,TMA,Male#232307,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#241649,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#2550279,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,url,,Male#2012966,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,resource,,Female#30268,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Male#427704,X.Y.Z
CSAAA-2013J,2023 January 09 05:13,registration,,Male#2689958,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#255548,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#376439,X.Y.Z
CSAAA-2013J,2023 August 10 05:11,assessment,TMA,Male#760729,X.Y.Z
CSBBB-2013B,2023 April 05 05:11,assessment,TMA,Female#2498299,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Female#2599352,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Male#137873,X.Y.Z
